Situation,emotion,empathetic_dialogues
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,"Customer :I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world.
Agent :"
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,"Customer :This was a best friend. I miss her.
Agent :"
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,"Customer :We no longer talk.
Agent :"
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,"Customer :Was this a friend you were in love with, or just a best friend?
Agent :"
"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,"Customer :Where has she gone?
Agent :"
I showed a guy how to run a good bead in welding class and he caught on quick.,proud,"Customer :Hi how are you doing today
Agent :"
I showed a guy how to run a good bead in welding class and he caught on quick.,proud,"Customer :Im good, trying to understand how someone can feel like hitting a blank wall when they see the darkness
Agent :"
I showed a guy how to run a good bead in welding class and he caught on quick.,proud,"Customer :doing good.. how about you
Agent :"
I showed a guy how to run a good bead in welding class and he caught on quick.,proud,"Customer :it's quite strange that you didnt imagine it
Agent :"
"One year during christmas, i did not get a single gift. It was a rough day for me.",sad,"Customer :During christmas a few years ago, I did not get any presents.
Agent :"
"One year during christmas, i did not get a single gift. It was a rough day for me.",sad,"Customer :Since that day christmas has not been a good time for me. As I have no family, christmas is always the worst.
Agent :"
"One year during christmas, i did not get a single gift. It was a rough day for me.",sad,"Customer :Wow, that must be terrible, I cannot imagine, I lvoe christmas
Agent :"
"One year during christmas, i did not get a single gift. It was a rough day for me.",sad,"Customer :Wow, I am sorry to hear that, I wish I could make it a better holiday for you!
Agent :"
I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,grateful,"Customer :Hi, I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.
Agent :"
I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,grateful,"Customer :Yes, I did. I was so grateful because I have a lot of money in my wallet.
Agent :"
I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,grateful,"Customer :Thats a sweet man, I hope you acknowledged his kind gesture. 
Agent :"
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,sad,"Customer :People get rejected all the time but it shouldn't be an excuse to let it dissuade you from reaching your goals.
Agent :"
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,sad,"Customer :Got rejected from a place I wanted to work, not once but three times 
Agent :"
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,sad,"Customer :What happened?
Agent :"
